,statcode,statnaam,gezondheid_OR1,totale_kosten_irr
0,GG0111,GGD Groningen,1.0496714153011233,1.0324083969394795
1,GG0706,GGD Drenthe,0.9861735698828815,0.9614917719583683
2,GG1009,GGD IJsselland,1.0647688538100692,0.9323077999694042
3,GG1106,GGD Regio Twente,1.1523029856408025,1.0611676288840868
4,GG1413,GGD Noord- en Oost-Gelderland,0.9765846625276664,1.103099952249595
5,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden,0.976586304305082,1.0931280119116198
6,GG2014,GGD Gelderland-Zuid,1.1579212815507391,0.9160782476777362
7,GG2209,GGD Flevoland,1.076743472915291,0.9690787624148786
8,GG2514,GGD Regio Utrecht,0.9530525614065047,1.0331263431403563
9,GG2707,GGD Hollands-Noorden,1.0542560043585965,1.097554512712236
10,GG3109,GGD Kennemerland,0.9536582307187538,0.952082576215471
11,GG3406,GGD Amsterdam,0.9534270246429744,0.9814341023336183
12,GG3606,GGD Gooi en Vechtstreek,1.0241962271566034,0.8893665025993972
13,GG4506,GGD Hollands-Midden,0.8086719755342202,0.8803793375919329
14,GG4607,GGD Rotterdam-Rijnmond,0.8275082167486967,1.08125258223942
15,GG4816,Dienst Gezondheid & Jeugd ZHZ,0.9437712470759028,1.1356240028570823
16,GG5006,GGD Zeeland,0.8987168879665576,0.9927989878419666
17,GG5206,GGD West-Brabant,1.0314247332595274,1.1003532897892023
18,GG5406,GGD Hart voor Brabant,0.9091975924478789,1.0361636025047634
19,GG5608,GGD Brabant-Zuidoost,0.8587696298664709,0.9354880245394875
20,GG6011,GGD Limburg-Noord,1.1465648768921555,1.0361395605508414
21,GG6106,GGD Zuid-Limburg,1.0,1.0
22,GG7014,GGD Haaglanden,1.0067528204687923,0.9964173960890048
23,GG7206,GGD Fryslân,0.8575251813786543,1.1564643655814006
24,GG7306,GGD Zaanstreek/Waterland,0.9455617275474817,0.7380254895910255
